continent,dw_region,region,income,iso3,country,city,year,pm10.mean,pm10.coverage,pm10.converted,pm25.mean,pm25.coverage,pm25.converted,stations,reference,db.version,status
Europe,Eastern Europe,Europe,LMIC,ALB,Albania,Tirana,2013,32,NA,Measured,16,NA,Measured,"1 station, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe,Eastern Europe,Europe,LMIC,ALB,Albania,Vlore,2016,23,>75%,Measured,15,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Eastern Europe,Europe,LMIC,ALB,Albania,Vrith,2015,20,>75%,Measured,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe,Western and Southern Europe,Europe,HIC,AND,Andorra,Escaldes-Engordany,2017,19,NA,Measured,10,NA,Measured,,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,
Asia,Middle East,Eastern Mediterranean,HIC,ARE,United Arab Emirates,Abu Dhabi,2015,150,NA,Measured,61,NA,Converted,"1 City Centre, 2 Industrial, 1 Road Side, 4 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Asia,Middle East,Eastern Mediterranean,HIC,ARE,United Arab Emirates,Al Ain,2015,122,NA,Measured,50,NA,Converted,"1 City Centre, 1 Regional Background, 1 Road Side, 3 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Asia,Middle East,Eastern Mediterranean,HIC,ARE,United Arab Emirates,Al Gharbia,2015,153,NA,Measured,63,NA,Converted,"1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Asia,Middle East,Eastern Mediterranean,HIC,ARE,United Arab Emirates,Al Gharbia - Bida Zayed,2013,146,NA,Measured,62,NA,Converted,"1 station, urban/residential","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Asia,Middle East,Eastern Mediterranean,HIC,ARE,United Arab Emirates,Al Gharbia - Gayathi,2013,145,NA,Measured,61,NA,Converted,"1 station, urban","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Asia,Middle East,Eastern Mediterranean,HIC,ARE,United Arab Emirates,Al Gharbia - Liwa Oasis,2013,133,NA,Measured,56,NA,Converted,"1 station, regional background","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Americas,Americas,Americas,LMIC,ARG,Argentina,Buenos Aires,2016,27,>75%,Measured,12,NA,Converted,3 N.A.,Agencia de Proteccion Ambiental,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Adelaide,2016,16,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Albany,2016,18,>75%,Measured,8,NA,Converted,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Albury,2016,15,>75%,Measured,7,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Ayr,2015,24,>75%,Measured,10,NA,Converted,1 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Bathurst,2016,13,>75%,Measured,6,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Brisbane,2016,15,>75%,Measured,7,>75%,Measured,7 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Bunbury,2016,16,>75%,Measured,8,>75%,Measured,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Canberra,2014,10,NA,Measured,7,NA,Measured,NA,ACT Air Quality Reports,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,City Of Ipswich,2016,13,>75%,Measured,6,NA,Converted,1 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Collie,2016,19,>75%,Measured,8,NA,Converted,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Darwin,2016,16,>75%,Measured,6,>75%,Measured,1 Urban,NT-EPA,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Geelong,2014,18,NA,Measured,8,NA,Converted,"1 station, Residential/Light Industry","EPA Victoria, Environment Protection Authority Macleod",2016,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Geraldton,2016,19,>75%,Measured,8,NA,Converted,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Gladstone,2016,14,>75%,Measured,5,>75%,Measured,5 N.A.,Queensland Government Data,2018,
Oceania,Oceania,Western Pacific,HIC,AUS,Australia,Jondaryan,2016,17,50% -< 75%,Measured,5,50% -< 75%,Measured,1 N.A.,Queensland Government Data,2018,
